first_name,last_name,company_name,address,city,state,zip,phone1,phone2,email,department
Veronika,Inouye,C 4 Network Inc,6 Greenleaf Ave,San Jose,CA,95111,408-540-1785,408-813-4592,vinouye@aol.com,Sales
Veronika,Inouye,C 4 Network Inc,6 Greenleaf Ave,San Jose,CA,95111,408-540-1785,408-813-4592,vinouye@aol.com,Finances
Willard,Kolmetz,"Ingalls, Donald R Esq",618 W Yakima Ave,Irving,TX,75062,972-303-9197,972-896-4882,willard@hotmail.com,Human Resources
Maryann,Royster,"Franklin, Peter L Esq",74 S Westgate St,Albany,NY,12204,518-966-7987,518-448-8982,mroyster@royster.com,Purchasing
Alisha,Slusarski,Wtlz Power 107 Fm,3273 State St,Middlesex,NJ,8846,732-658-3154,732-635-3453,alisha@slusarski.com,Marketing
Allene,Iturbide,"Ledecky, David Esq",1 Central Ave,Stevens Point,WI,54481,715-662-6764,715-530-9863,allene_iturbide@cox.net,Production
Chanel,Caudy,Professional Image Inc,86 Nw 66th St #8673,Shawnee,KS,66218,913-388-2079,913-899-1103,chanel.caudy@caudy.org,Research and Development
Ezekiel,Chui,"Sider, Donald C Esq",2 Cedar Ave #84,Easton,MD,21601,410-669-1642,410-235-8738,ezekiel@chui.com,Finances
Willow,Kusko,U Pull It,90991 Thorburn Ave,New York,NY,10011,212-582-4976,212-934-5167,wkusko@yahoo.com,Human Resources
Bernardo,Figeroa,"Clark, Richard Cpa",386 9th Ave N,Conroe,TX,77301,936-336-3951,936-597-3614,bfigeroa@aol.com,Finances
Bernardo,Figeroa,"Clark, Richard Cpa",386 9th Ave N,Conroe,TX,77301,936-336-3951,936-597-3614,bfigeroa@aol.com,Purchasing
Ammie,Corrio,"Moskowitz, Barry S",74874 Atlantic Ave,Columbus,OH,43215,614-801-9788,614-648-3265,ammie@corrio.com,Marketing
Francine,Vocelka,Cascade Realty Advisors Inc,366 South Dr,Las Cruces,NM,88011,505-977-3911,505-335-5293,francine_vocelka@vocelka.com,Human Resources
Ernie,Stenseth,Knwz Newsradio,45 E Liberty St,Ridgefield Park,NJ,7660,201-709-6245,201-387-9093,ernie_stenseth@aol.com,Purchasing
Albina,Glick,"Giampetro, Anthony D",4 Ralph Ct,Dunellen,NJ,8812,732-924-7882,732-782-6701,albina@glick.com,Marketing
Alishia,Sergi,Milford Enterprises Inc,2742 Distribution Way,New York,NY,10025,212-860-1579,212-753-2740,asergi@gmail.com,Human Resources
Solange,Shinko,"Mosocco, Ronald A",426 Wolf St,Metairie,LA,70002,504-979-9175,504-265-8174,solange@shinko.com,Purchasing
Jose,Stockham,Tri State Refueler Co,128 Bransten Rd,New York,NY,10011,212-675-8570,212-569-4233,jose@yahoo.com,Marketing
Rozella,Ostrosky,Parkway Company,17 Morena Blvd,Camarillo,CA,93012,805-832-6163,805-609-1531,rozella.ostrosky@ostrosky.com,Sales
Valentine,Gillian,Fbs Business Finance,775 W 17th St,San Antonio,TX,78204,210-812-9597,210-300-6244,valentine_gillian@gmail.com,Purchasing
Valentine,Gillian,Fbs Business Finance,775 W 17th St,San Antonio,TX,78204,210-812-9597,210-300-6244,valentine_gillian@gmail.com,Sales
Kati,Rulapaugh,Eder Assocs Consltng Engrs Pc,6980 Dorsett Rd,Abilene,KS,67410,785-463-7829,785-219-7724,kati.rulapaugh@hotmail.com,Sales
Youlanda,Schemmer,Tri M Tool Inc,2881 Lewis Rd,Prineville,OR,97754,541-548-8197,541-993-2611,youlanda@aol.com,Sales
Dyan,Oldroyd,International Eyelets Inc,7219 Woodfield Rd,Overland Park,KS,66204,913-413-4604,913-645-8918,doldroyd@aol.com,Sales
Roxane,Campain,Rapid Trading Intl,1048 Main St,Fairbanks,AK,99708,907-231-4722,907-335-6568,roxane@hotmail.com,Sales
Lavera,Perin,Abc Enterprises Inc,678 3rd Ave,Miami,FL,33196,305-606-7291,305-995-2078,lperin@perin.org,Sales
Erick,Ferencz,Cindy Turner Associates,20 S Babcock St,Fairbanks,AK,99712,907-741-1044,907-227-6777,erick.ferencz@aol.com,Sales
Fatima,Saylors,"Stanton, James D Esq",2 Lighthouse Ave,Hopkins,MN,55343,952-768-2416,952-479-2375,fsaylors@saylors.org,Sales
Jina,Briddick,Grace Pastries Inc,38938 Park Blvd,Boston,MA,2128,617-399-5124,617-997-5771,jina_briddick@briddick.com,Sales
Kanisha,Waycott,"Schroer, Gene E Esq",5 Tomahawk Dr,Los Angeles,CA,90006,323-453-2780,323-315-7314,kanisha_waycott@yahoo.com,Purchasing
Emerson,Bowley,Knights Inn,762 S Main St,Madison,WI,53711,608-336-7444,608-658-7940,emerson.bowley@bowley.org,Sales
Emerson,Bowley,Knights Inn,762 S Main St,Madison,WI,53711,608-336-7444,608-658-7940,emerson.bowley@bowley.org,Purchasing
Blair,Malet,Bollinger Mach Shp & Shipyard,209 Decker Dr,Philadelphia,PA,19132,215-907-9111,215-794-4519,bmalet@yahoo.com,Purchasing
Brock,Bolognia,Orinda News,4486 W O St #1,New York,NY,10003,212-402-9216,212-617-5063,bbolognia@yahoo.com,Purchasing
Lorrie,Nestle,Ballard Spahr Andrews,39 S 7th St,Tullahoma,TN,37388,931-875-6644,931-303-6041,lnestle@hotmail.com,Purchasing
Sabra,Uyetake,Lowy Limousine Service,98839 Hawthorne Blvd #6101,Columbia,SC,29201,803-925-5213,803-681-3678,sabra@uyetake.org,Purchasing
Marjory,Mastella,Vicon Corporation,71 San Mateo Ave,Wayne,PA,19087,610-814-5533,610-379-7125,mmastella@mastella.com,Purchasing
Karl,Klonowski,"Rossi, Michael M",76 Brooks St #9,Flemington,NJ,8822,908-877-6135,908-470-4661,karl_klonowski@yahoo.com,Production
Tonette,Wenner,Northwest Publishing,4545 Courthouse Rd,Westbury,NY,11590,516-968-6051,516-333-4861,twenner@aol.com,Production
Amber,Monarrez,Branford Wire & Mfg Co,14288 Foster Ave #4121,Jenkintown,PA,19046,215-934-8655,215-329-6386,amber_monarrez@monarrez.org,Production
Shenika,Seewald,East Coast Marketing,4 Otis St,Van Nuys,CA,91405,818-423-4007,818-749-8650,shenika@gmail.com,Production
Delmy,Ahle,Wye Technologies Inc,65895 S 16th St,Providence,RI,2909,401-458-2547,401-559-8961,delmy.ahle@hotmail.com,Production
Deeanna,Juhas,"Healy, George W Iv",14302 Pennsylvania Ave,Huntingdon Valley,PA,19006,215-211-9589,215-417-9563,deeanna_juhas@gmail.com,Sales
Blondell,Pugh,Alpenlite Inc,201 Hawk Ct,Providence,RI,2904,401-960-8259,401-300-8122,bpugh@aol.com,Purchasing
Blondell,Pugh,Alpenlite Inc,201 Hawk Ct,Providence,RI,2904,401-960-8259,401-300-8122,bpugh@aol.com,Human Resources
Jamal,Vanausdal,"Hubbard, Bruce Esq",53075 Sw 152nd Ter #615,Monroe Township,NJ,8831,732-234-1546,732-904-2931,jamal@vanausdal.org,Purchasing
Cecily,Hollack,Arthur A Oliver & Son Inc,59 N Groesbeck Hwy,Austin,TX,78731,512-486-3817,512-861-3814,cecily@hollack.org,Marketing
Carmelina,Lindall,George Jessop Carter Jewelers,2664 Lewis Rd,Littleton,CO,80126,303-724-7371,303-874-5160,carmelina_lindall@lindall.com,Production
Maurine,Yglesias,"Schultz, Thomas C Md",59 Shady Ln #53,Milwaukee,WI,53214,414-748-1374,414-573-7719,maurine_yglesias@yglesias.com,Research and Development
Tawna,Buvens,H H H Enterprises Inc,3305 Nabell Ave #679,New York,NY,10009,212-674-9610,212-462-9157,tawna@gmail.com,Finances
Penney,Weight,Hawaiian King Hotel,18 Fountain St,Anchorage,AK,99515,907-797-9628,907-873-2882,penney_weight@aol.com,Sales
Elly,Morocco,Killion Industries,7 W 32nd St,Erie,PA,16502,814-393-5571,814-420-3553,elly_morocco@gmail.com,Human Resources
Ilene,Eroman,"Robinson, William J Esq",2853 S Central Expy,Glen Burnie,MD,21061,410-914-9018,410-937-4543,ilene.eroman@hotmail.com,Purchasing
Vallie,Mondella,Private Properties,74 W College St,Boise,ID,83707,208-862-5339,208-737-8439,vmondella@mondella.com,Marketing
Kallie,Blackwood,Rowley Schlimgen Inc,701 S Harrison Rd,San Francisco,CA,94104,415-315-2761,415-604-7609,kallie.blackwood@gmail.com,Production
Johnetta,Abdallah,Forging Specialties,1088 Pinehurst St,Chapel Hill,NC,27514,919-225-9345,919-715-3791,johnetta_abdallah@aol.com,Research and Development
Bobbye,Rhym,"Smits, Patricia Garity",30 W 80th St #1995,San Carlos,CA,94070,650-528-5783,650-811-9032,brhym@rhym.com,Finances
Micaela,Rhymes,H Lee Leonard Attorney At Law,20932 Hedley St,Concord,CA,94520,925-647-3298,925-522-7798,micaela_rhymes@gmail.com,Finances
Tamar,Hoogland,A K Construction Co,2737 Pistorio Rd #9230,London,OH,43140,740-343-8575,740-526-5410,tamar@hotmail.com,Finances
Moon,Parlato,"Ambelang, Jessica M Md",74989 Brandon St,Wellsville,NY,14895,585-866-8313,585-498-4278,moon@yahoo.com,Finances
Laurel,Reitler,Q A Service,6 Kains Ave,Baltimore,MD,21215,410-520-4832,410-957-6903,laurel_reitler@reitler.com,Finances
Delisa,Crupi,Wood & Whitacre Contractors,47565 W Grand Ave,Newark,NJ,7105,973-354-2040,973-847-9611,delisa.crupi@crupi.com,Finances
Viva,Toelkes,Mark Iv Press Ltd,4284 Dorigo Ln,Chicago,IL,60647,773-446-5569,773-352-3437,viva.toelkes@gmail.com,Finances
Elza,Lipke,Museum Of Science & Industry,6794 Lake Dr E,Newark,NJ,7104,973-927-3447,973-796-3667,elza@yahoo.com,Human Resources
Devorah,Chickering,Garrison Ind,31 Douglas Blvd #950,Clovis,NM,88101,505-975-8559,505-950-1763,devorah@hotmail.com,Human Resources
Timothy,Mulqueen,Saronix Nymph Products,44 W 4th St,Staten Island,NY,10309,718-332-6527,718-654-7063,timothy_mulqueen@mulqueen.org,Human Resources
Arlette,Honeywell,Smc Inc,11279 Loytan St,Jacksonville,FL,32254,904-775-4480,904-514-9918,ahoneywell@honeywell.com,Human Resources
Dominque,Dickerson,E A I Electronic Assocs Inc,69 Marquette Ave,Hayward,CA,94545,510-993-3758,510-901-7640,dominque.dickerson@dickerson.org,Human Resources
Lettie,Isenhower,"Conte, Christopher A Esq",70 W Main St,Beachwood,OH,44122,216-657-7668,216-733-8494,lettie_isenhower@yahoo.com,Human Resources
Myra,Munns,Anker Law Office,461 Prospect Pl #316,Euless,TX,76040,817-914-7518,817-451-3518,mmunns@cox.net,Human Resources
Stephaine,Barfield,Beutelschies & Company,47154 Whipple Ave Nw,Gardena,CA,90247,310-774-7643,310-968-1219,stephaine@barfield.com,Human Resources
Lai,Gato,"Fligg, Kenneth I Jr",37 Alabama Ave,Evanston,IL,60201,847-728-7286,847-957-4614,lai.gato@gato.org,Marketing
Stephen,Emigh,"Sharp, J Daniel Esq",3777 E Richmond St #900,Akron,OH,44302,330-537-5358,330-700-2312,stephen_emigh@hotmail.com,Marketing
Tyra,Shields,"Assink, Anne H Esq",3 Fort Worth Ave,Philadelphia,PA,19106,215-255-1641,215-228-8264,tshields@gmail.com,Marketing
Tammara,Wardrip,Jewel My Shop Inc,4800 Black Horse Pike,Burlingame,CA,94010,650-803-1936,650-216-5075,twardrip@cox.net,Marketing
Cory,Gibes,Chinese Translation Resources,83649 W Belmont Ave,San Gabriel,CA,91776,626-572-1096,626-696-2777,cory.gibes@gmail.com,Marketing
Danica,Bruschke,"Stevens, Charles T",840 15th Ave,Waco,TX,76708,254-782-8569,254-205-1422,danica_bruschke@gmail.com,Marketing
Wilda,Giguere,"Mclaughlin, Luther W Cpa",1747 Calle Amanecer #2,Anchorage,AK,99501,907-870-5536,907-914-9482,wilda@cox.net,Marketing
Elvera,Benimadho,Tree Musketeers,99385 Charity St #840,San Jose,CA,95110,408-703-8505,408-440-8447,elvera.benimadho@cox.net,Marketing
Carma,Vanheusen,Springfield Div Oh Edison Co,68556 Central Hwy,San Leandro,CA,94577,510-503-7169,510-452-4835,carma@cox.net,Marketing
Malinda,Hochard,Logan Memorial Hospital,55 Riverside Ave,Indianapolis,IN,46202,317-722-5066,317-472-2412,malinda.hochard@yahoo.com,Marketing
Natalie,Fern,"Kelly, Charles G Esq",7140 University Ave,Rock Springs,WY,82901,307-704-8713,307-279-3793,natalie.fern@hotmail.com,Marketing
Lisha,Centini,Industrial Paper Shredders Inc,64 5th Ave #1153,Mc Lean,VA,22102,703-235-3937,703-475-7568,lisha@centini.org,Marketing
Arlene,Klusman,Beck Horizon Builders,3 Secor Rd,New Orleans,LA,70112,504-710-5840,504-946-1807,arlene_klusman@gmail.com,Marketing
